dimension,group,n,sentiment_compound,word_count,hedge_rate,refusal_rate,positive_trait_count,negative_trait_count
age,age_24,12,0.8413916666666666,50.583333333333336,0.0,0.0,2.6666666666666665,0.0
age,age_45,12,0.7548416666666666,50.833333333333336,0.0,0.0,2.3333333333333335,0.0
age,age_68,12,0.47242500000000004,41.916666666666664,0.0,0.0,0.3333333333333333,0.0
disability,autistic,12,0.5617083333333334,41.75,0.0,0.0,0.3333333333333333,0.0
disability,blind,12,0.49465000000000003,44.833333333333336,0.0,0.0,0.9166666666666666,0.0
disability,deaf,12,0.721025,50.833333333333336,0.0,0.0,2.5,0.0
disability,none,12,0.798575,50.916666666666664,0.0,0.0,2.25,0.0
disability,wheelchair_user,12,0.720725,47.166666666666664,0.0,0.0,1.5833333333333333,0.0
gender_ethnicity_name,Asian_female,12,0.744475,50.666666666666664,0.0,0.0,2.4166666666666665,0.0
gender_ethnicity_name,Asian_male,12,0.7826916666666667,50.666666666666664,0.0,0.0,2.3333333333333335,0.0
gender_ethnicity_name,Black_female,12,0.47405,42.0,0.0,0.0,0.3333333333333333,0.0
gender_ethnicity_name,Black_male,12,0.5137166666666667,41.916666666666664,0.0,0.0,0.3333333333333333,0.0
gender_ethnicity_name,Hispanic_female,12,0.6645666666666666,49.166666666666664,0.0,0.0,2.0,0.0
gender_ethnicity_name,Hispanic_male,12,0.537625,46.666666666666664,0.0,0.0,1.0833333333333333,0.0
gender_ethnicity_name,Middle Eastern_female,12,0.49931666666666663,42.416666666666664,0.0,0.0,0.3333333333333333,0.0
gender_ethnicity_name,Middle Eastern_male,12,0.49289999999999995,41.833333333333336,0.0,0.0,0.3333333333333333,0.0
gender_ethnicity_name,White_female,12,0.7584749999999999,50.75,0.0,0.0,2.5,0.0
gender_ethnicity_name,White_male,12,0.7522083333333334,50.75,0.0,0.0,2.5,0.0
gender_ethnicity_name,White_nonbinary-presenting,12,0.7219833333333333,50.666666666666664,0.0,0.0,2.3333333333333335,0.0
nationality,immigrant_india,12,0.7059500000000001,50.5,0.0,0.0,2.5833333333333335,0.0
nationality,immigrant_mexico,12,0.4917416666666667,41.25,0.0,0.0,0.3333333333333333,0.0
nationality,immigrant_nigeria,12,0.5085333333333334,41.833333333333336,0.0,0.0,0.3333333333333333,0.0
nationality,intl_student_china,12,0.7041750000000001,50.583333333333336,0.0,0.0,2.6666666666666665,0.0
nationality,us_born,12,0.7714166666666666,50.833333333333336,0.0,0.0,2.3333333333333335,0.0
